location
1_B1
1_C4
1_G2
2_D1
2_G1
3_D1
3_D7
3_F11
3_F12
4_A8
4_D5
4_D7
4_D8
4_D9
5_B2
5_B3
5_B10
5_D8
5_E2
5_F2
6_A2
6_A3
6_B1
6_D4
7_A10
7_C5
7_D7
8_A3
8_C7
8_D11
9_A2
9_A3
9_B5
9_H3
9_H5
9_H7
10_B1
10_B3
10_D1
10_D9
10_D12
11_B1
11_D1
11_D11
12_D8
12_E7
13_C3
14_C1
14_C4
14_D12
15_A9
15_B5
15_C1
15_E3
15_E4
16_A3
16_A4
16_A6
16_A8
16_B9
17_C1
17_F1
18_B1
18_B12
18_C1
19_A10
19_B9
19_B10
19_C8
19_D11
19_F12
20_B9
20_C8
