location
1_D9
1_F6
2_D8
3_A10
3_C1
3_D7
4_B5
4_G4
5_C4
5_D9
6_D4
6_D7
6_E4
6_G8
7_B9
7_B11
7_D6
7_E3
8_D6
8_F4
9_A12
9_B2
9_B5
9_E12
9_F12
10_D12
10_E6
10_E9
11_H3
11_H5
12_C9
12_D10
13_B1
13_C2
13_C11
13_D5
13_D9
13_D10
13_F12
14_B3
14_B7
14_B8
14_C2
14_C7
14_C9
14_E1
14_F11
15_F10
16_B2
16_B3
16_C6
16_F9
17_B5
17_B7
17_C1
18_C9
18_D12
19_D12
20_E10
