Location
lacZbp01q2A12
lacZbp01q2H01
lacZbp01q4A07
lacZbp01q4A09
lacZbp01q4A11
lacZbp01q4B12
lacZbp01q4H02
lacZbp01q4H04
lacZbp02q1H01
lacZbp03q3H01
lacZbp03q4A01
lacZbp03q4C01
lacZbp03q4A12
lacZwp01q1A02
lacZwp01q1A10
lacZwp01q1B01
lacZwp01q1B02
lacZwp01q1H01
lacZwp01q1H12
lacZwp01q2A01
lacZwp01q2B01
lacZwp01q2A12
lacZwp01q2B12
lacZwp02q1A01
lacZwp02q1A12
lacZwp02q4H01
lacZwp03q1A01
lacZwp03q1H01
lacZwp03q4H01
lacZwp04q2D01
lacZwp04q2E01
lacZwp04q2H01
lacZwp05q1H01
lacZwp05q1H02
lacZwp05q1H03
lacZwp05q2H01
lacZwp05q2H11
lacZwp05q4A01
lacZwp06q2H01
lacZwp06q2H02
lacZwp06q2H03
phoAbp01q3A01
phoAbp01q3B01
phoAbp03q3A01
phoAbp03q3B01
phoAwp02q1B01
phoAwp02q1D01
phoAwp02q1H01
phoAwp02q1D12
phoAwp02q2A03
phoAwp02q2B12
phoAwp02q2C12
phoAwp02q2H01
phoAwp02q4H02
phoAwp02q4H03
phoAwp03q1A02
phoAwp03q1B02
phoAwp03q2B12
phoAwp03q2H12
phoAwp03q4H12
phoAwp04q1A12
phoAwp06q1A01
phoAwp06q3H01
phoAwp08q1A11
phoAwp08q1A12
phoAwp08q1G12
phoAwp10q3A01
phoAwp10q3A02
phoAwp10q3A03
phoAwp10q3B01
phoAwp10q3B02
phoAwp10q3G02
phoAwp10q3H01
phoAwp10q3H02
