location
2_A1
7_A1
7_A2
7_A3
8_A12
8_H12
8_H1
12_D2
12_H1
16_H1
16_H12
18_A3
18_C4
18_F2
18_F5
18_G2
19_A1
19_H1
19_G2
19_F3
19_F7
19_E7
