Time,lb 308 1,lb 308 2,lb 308 3,lb 308 4,lb 308 5,lb 308 6,lb 3 1,lb 3 2,lb 3 3,lb 3 4,lb 3 5,lb 3 6,lb 309 1,lb 309 2,lb 309 3,lb 309 4,lb 309 5,lb 309 6,lb 6 1,lb 6 2,lb 6 3,lb 6 4,lb 6 5,lb 6 6,lb 317 1,lb 317 2,lb 317 3,lb 317 4,lb 317 5,lb 317 6,empty,empty,empty,empty,empty,empty,lb 318 1,lb 318 2,lb 318 3,lb 318 4,lb 318 5,lb 318 6,empty,empty,empty,empty,empty,empty,lb 323 1,lb 323 2,lb 323 3,lb 323 4,lb 323 5,lb 323 6,empty,empty,empty,empty,empty,empty,lb 324 1,lb 324 2,lb 324 3,lb 324 4,lb 324 5,lb 324 6,empty,empty,empty,empty,empty,empty,lb 366 1,lb 366 2,lb 366 3,lb 366 4,lb 366 5,lb 366 6,empty,empty,empty,empty,empty,empty,lb 367 1,lb 367 2,lb 367 3,lb 367 4,lb 367 5,lb 367 6,lb blank 1,lb blank 2,lb blank 3,lb blank 4,lb blank 5,lb blank 6
0,207418,193338,211133,205007,202424,205310,189577,185412,190417,184924,178857,183772,195839,198565,205939,201988,206309,213488,191326,188828,192264,192913,183431,189052,213109,209645,216666,224044,217114,214664,7444,7216,7474,7405,7375,7109,240853,214475,228891,231236,222963,218471,7414,7432,7539,7360,7277,6980,204347,208854,208186,211581,206434,209592,7425,7483,7386,7238,7333,7170,196598,202448,204362,203532,207656,199252,7407,7393,7525,7365,7197,7231,182389,182037,186975,189333,196474,189348,7610,7450,7282,7278,7327,6990,190748,176853,180717,187427,186936,183705,195008,195372,199329,190681,187010,189555
0.5,185274,190826,192981,192147,190105,190523,172065,172787,173407,169150,159887,167894,182652,184814,189735,191215,190604,192572,171929,171434,172419,179074,166098,165671,210804,210501,208538,208947,207853,212662,6935,6985,6914,7088,7195,6984,220250,207698,210261,214730,203527,204652,7300,7283,7195,7287,7208,7077,199739,205245,201532,200758,199005,199564,7214,7265,7214,6885,7166,7042,195444,197089,194180,194464,195653,196922,7183,7262,7384,7178,7176,6887,168923,168527,176148,175004,184836,175075,7082,7316,7181,7280,6798,6760,178693,165563,166872,173522,174259,170988,185303,186720,188100,179596,176701,176577
1,193590,197438,203263,198710,196534,198057,171090,170757,169805,166617,156622,164121,188772,193362,195014,198757,196541,202111,171949,169241,169262,175270,164020,160921,237441,238324,235557,232738,231421,239799,7133,7043,7094,7132,7068,6990,241604,239483,235636,242250,234056,232685,7359,7367,7261,7269,7031,6780,210255,214598,213057,212187,209684,210462,7219,7051,7120,7188,7033,7039,215125,209724,205309,210462,203719,212517,7319,7288,7408,7104,7057,6919,167611,166409,173491,173486,181121,172697,7358,7132,7142,7180,7081,6770,176112,163168,165596,171170,173754,169192,183452,184649,186508,178143,175406,174617
1.5,201951,204252,213610,205301,203125,205278,168077,166662,166148,163128,157755,159237,195099,199244,202403,207089,203513,210343,168323,165258,165223,170717,159108,153533,258743,258861,255581,254040,251129,260218,6875,7140,7016,7103,6928,6738,266713,260455,258585,264948,256951,255476,7285,7089,7110,7040,7080,6906,229142,226823,225941,225163,221738,226270,7022,7113,7115,7176,7066,6898,229313,224017,220684,221514,218642,227482,7281,7262,7287,7102,7084,6861,163291,163949,169199,168573,176217,168887,7101,7108,7153,7101,6937,6637,172353,160489,162420,168872,170435,167113,183183,184232,184778,177322,173523,172528
2,223675,221975,227798,223227,220105,223793,158780,157668,157581,152004,146980,150994,212622,216548,219604,224030,221396,224465,163923,159350,159770,163600,150270,150148,299002,303652,291585,287224,283180,304693,7074,7132,6881,7264,7000,6931,321291,304574,308882,302769,303705,307011,7110,7422,7316,7195,6933,7061,263433,253263,255173,250364,250417,252802,7100,7141,7148,7043,7104,7016,264065,250035,242473,242210,244133,259006,7241,7291,7313,7105,7003,6946,154582,156713,157505,158578,164826,159257,7047,7299,7023,7119,6968,6890,164188,153407,154349,164673,161709,159677,181277,182305,184024,175615,172972,170728
2.5,256503,246386,259691,249337,247980,250378,149896,148089,149316,146439,140736,144071,238192,240115,242131,252406,242935,249811,154982,152264,152324,154574,146566,145386,362288,356439,349601,356281,336151,362393,6860,6953,7039,7120,6874,6785,397633,361813,379637,366661,360852,362169,7045,7079,7081,7184,7067,7050,306194,286908,298685,288529,286895,291769,7136,7131,7003,7141,7062,7000,306721,289740,280308,278095,284879,298264,7019,7220,7149,7161,7016,7021,151953,148093,152461,152918,156338,152130,7186,7167,7110,7190,6799,6649,156012,145551,147635,157354,153957,151600,180169,181221,182312,173545,170737,168043
3,294101,285301,300082,287501,286500,289121,145725,143416,143509,142259,136285,139412,271930,274459,276896,294285,270033,285512,150121,147650,148844,150487,144014,146634,433583,441171,429434,420910,407421,425903,7023,6880,7078,7066,6985,6868,500585,450459,483327,451855,450393,451605,7143,7161,7182,7048,6902,6872,362011,341487,352605,340380,339260,341724,7165,7090,7170,7076,7062,6827,370837,347797,340828,339379,346624,359469,7175,7106,7193,7003,6961,6871,148746,143010,146806,146535,152820,149011,7084,7148,6881,7062,6971,6716,151830,141915,144273,151104,148782,148969,177550,179696,180954,172987,169525,165169
3.5,355042,342000,361181,380823,338694,334584,143636,142911,141571,137861,134577,137965,333477,328669,330671,344227,329011,346295,147010,148677,148904,151987,146316,146986,584000,595369,646891,540606,518408,544532,6997,7121,7049,7178,6922,6872,646772,703933,618410,595053,574581,612547,7105,7130,7078,7227,6989,6894,458561,421754,429407,425745,416431,420107,6912,7217,7076,6989,6916,6988,463474,442752,418579,416102,430606,443793,7195,7182,7066,6996,7069,6946,143468,139391,144292,145612,149924,143270,6929,7309,7097,7127,7021,6700,149680,137436,141777,146156,146490,148361,177200,179259,179823,171496,169033,163298
4,409542,389267,420555,393562,412374,402744,144149,144562,144417,141036,136759,140751,383418,387278,383853,410161,384195,401058,150213,152679,152537,151076,145449,146548,755718,715183,687953,680378,649486,699809,6835,7090,6734,6846,6950,6748,828872,768312,779642,736432,704842,719438,7028,7150,7054,7113,6992,6911,521834,520279,525562,505959,497937,499781,7178,7094,7243,6981,6883,6855,560709,539170,511268,512546,523691,533216,7076,7271,7228,7118,7001,6863,151818,137770,144314,145198,148525,146816,7185,7169,6877,7160,7015,6651,148392,140318,144568,144848,148357,150391,176092,177891,179333,170465,166907,161147
4.5,494090,440104,490889,465951,469613,475397,165841,162106,159455,165347,159331,162589,431897,440803,423703,460708,448127,470259,150470,148338,149777,148097,144464,142108,952796,830163,834800,853875,821758,893804,6992,7084,6988,6925,7016,6866,993845,889457,936592,882146,877561,855891,6986,7004,7057,7095,6926,6705,641925,655309,624443,602008,626604,624693,7167,6997,7019,6969,6908,6645,678626,692142,616038,614866,606487,646535,7106,7127,6972,6722,6795,6865,191200,141363,145817,160505,169065,181110,7149,7026,6993,6934,6895,6661,150175,150475,167756,152542,176253,191664,175344,175468,176310,168207,165739,158482
