Time,lb 308 1,lb 308 2,lb 308 3,lb 308 4,lb 308 5,lb 308 6,lb 311 1,lb 311 2,lb 311 3,lb 311 4,lb 311 5,lb 311 6,lbgm50 308 1,lbgm50 308 2,lbgm50 308 3,lbgm50 308 4,lbgm50 308 5,lbgm50 308 6,lbgm50 311 1,lbgm50 311 2,lbgm50 311 3,lbgm50 311 4,lbgm50 311 5,lbgm50 311 6,tcm 308 1,tcm 308 2,tcm 308 3,tcm 308 4,tcm 308 5,tcm 308 6,tcm 311 1,tcm 311 2,tcm 311 3,tcm 311 4,tcm 311 5,tcm 311 6,tcmgm50 308 1,tcmgm50 308 2,tcmgm50 308 3,tcmgm50 308 4,tcmgm50 308 5,tcmgm50 308 6,tcmgm50 311 1,tcmgm50 311 2,tcmgm50 311 3,tcmgm50 311 4,tcmgm50 311 5,tcmgm50 311 6,empty,lb 309 2,lb 309 3,lb 309 4,lb 309 5,lb 309 6,empty,empty,empty,empty,empty,empty,empty,lbgm50 309 2,lbgm50 309 3,lbgm50 309 4,lbgm50 309 5,lbgm50 309 6,empty,empty,empty,empty,empty,empty,empty,tcm 309 2,tcm 309 3,tcm 309 4,tcm 309 5,tcm 309 6,lb blank 1,lb blank 2,lb blank 3,lb blank 4,lb blank 5,lb blank 6,empty,tcmgm50 309 2,tcmgm50 309 3,tcmgm50 309 4,tcmgm50 309 5,tcmgm50 309 6,tcm blank 1,tcm blank 2,tcm blank 3,tcm blank 4,tcm blank 5,tcm blank 6
5,9171042,9620563,10072490,9821358,10108578,10460015,10209993,9921293,10045286,9950533,9330383,9283932,8891040,9170857,9696255,9622599,9352220,10142445,9741040,9765839,9495090,9394785,9191029,9057043,9397006,9252656,9568560,9724014,10185935,10299194,10249967,10182418,9738079,9414957,9219529,9439756,9707173,9682190,9784160,10193892,10359710,10365447,10094513,9546908,10053429,9962562,9985880,9981254,5112029,10252003,10316960,10025299,10221467,9742336,10130785,10430404,10612693,10517200,10403755,10597332,5738841,10284759,10486109,10449836,10608991,10079893,9986435,11081645,10307892,10535706,10400609,10504245,7763444,10240158,10677465,10746309,10824776,10626573,10258665,10813672,10656553,10661920,10312333,10071565,9078510,9780459,9894829,9630557,10381733,10270694,10319551,10534781,10058425,10431515,9495830,10031036
5.5,9079065,9513781,9911299,9872991,9836163,10383768,10057500,9706988,10052318,9920553,9218419,9264130,8854953,9147724,9817472,9623709,9496570,9948127,9628891,9879098,9517483,9355181,9137731,8828303,9415142,9193065,9535619,9873176,10415784,10424112,10219061,10214249,9658502,9390714,9183997,9401632,9672011,9717352,9880579,10128935,10348606,10348791,10039549,9553570,10033257,9921478,9951828,9760472,5075941,10183899,10425408,10405421,10410047,9734563,10072120,10253668,10673579,10493696,10431700,10545885,5731254,10303080,10404681,10315850,10618245,10120607,10080448,10794241,10410788,10647115,10196298,10428739,7767700,10206292,10525898,10694491,10817189,10535151,10209253,10794241,10584008,10563651,10271804,10039549,9181591,9732342,9780274,9546538,10278282,10183159,10214620,10489995,10153363,10427073,9512486,9863183
6,9120335,9629261,10004202,9910559,9924439,10521826,10191672,9684966,10145220,9861887,9346298,9422360,8921946,9252101,9916666,9741966,9548388,10046766,9752884,9953124,9590398,9445863,9226192,9060929,9312246,9327052,9600762,10016971,10459645,10517755,10304191,10304746,9819137,9465109,9293740,9489538,9763618,9829501,9961452,10242379,10429479,10460385,10148737,9651099,10105247,9989581,10050283,10141334,5165882,10254964,10553472,10527563,10453537,9818027,10170944,10422632,10565131,10475005,10468898,10635826,5748094,10410603,10512573,10408382,10711887,10238863,10209068,10906945,10516089,10747605,10299749,10515904,7916307,10288460,10483703,10806640,10905464,10494067,10284389,10880481,10714478,10686718,10378401,10061571,9173633,9810439,9917221,9647028,10462050,10370814,10504430,10664141,10135597,10375996,9466405,10093217
6.5,9151055,9756215,10005312,9687001,9947202,10520161,9924254,10001241,10093032,10034922,9348334,9448269,8924722,9226562,9781754,9684596,9463074,10033812,9836718,9886686,9613346,9412736,9213792,8962845,9444197,9248029,9612791,9999945,10448171,10483888,10296603,10230350,9794709,9478989,9261539,9446788,9724569,9540431,9813215,10227204,10369888,10420041,10091552,9576888,10113574,9969965,10040844,10116165,5103701,10298639,10397278,10095808,10086925,9766024,10184269,10675985,10572534,10331395,10387284,10608806,5725146,10342129,10507206,10431145,10713738,10215545,10138558,10930633,10462050,10690050,10238493,10527933,7791759,10241454,10597517,10748715,10868822,10564761,10290681,10830143,10667657,10552732,10321957,10171500,9057043,9811365,9893163,9674602,10378772,10344905,10443544,10642303,10099139,10347866,9454931,10041029
7,9158458,9731972,10155769,9699031,9921478,10543479,9810809,10145035,10062682,10082299,9379980,9466405,8968952,9262279,9697550,9719018,9456596,10243305,9864848,9946647,9596135,9468070,9297626,8930274,9511746,9277084,9573927,9615937,10162802,10334726,10348236,10157250,9917221,9517298,9355181,9463444,9760657,9625930,9755660,10274210,10362486,10421706,10125974,9672937,10164467,10025114,10068789,10123013,5102220,10371184,10417265,10212769,10258665,9809329,10207587,10694491,10644894,10416155,10467972,10675059,5811757,10391911,10567167,10544034,10765371,10256259,10234421,10970422,10561430,10763890,10311408,10485924,7831548,10314184,10691345,10815708,10882516,10730023,10334171,10877705,10761299,10569943,10412268,10079893,9082397,9833017,10010679,9828576,10432625,10434106,10526823,10678576,10183899,10457054,9530622,9945536
7.5,9178075,9850598,10167613,9735673,9966819,10604180,10202035,10116165,10174276,9918517,9449564,9413291,8954702,9262464,9775277,9732342,9543762,10281613,9950348,9859296,9683485,9499161,9283932,9067221,9505639,9278195,9639810,9945721,10495362,10445950,10389320,10094328,9939799,9529512,9478619,9495275,9781384,9706803,9831907,10323252,10491291,10454648,10178717,9677748,10160951,10052503,10033812,10161506,5082974,10401905,10394502,10130600,10170759,9798040,10291976,10808121,10498878,10436327,10478151,10583638,5792510,10413193,10619170,10588079,10806270,10250337,10183159,11156041,10531264,10811452,10441508,10567167,7812116,10342499,10777030,10840322,10970422,10787208,10430960,10935445,10855682,10703559,10429849,10130045,9069627,9852449,10053058,9813215,10510537,10491291,10575310,10739647,10248856,10466307,9447158,10028075
8,9191955,9754180,10068789,9751589,9953494,10591966,10083964,9861517,10187415,10169464,9397931,9372207,8953222,9275419,9748443,9745112,9501382,10243119,9918147,9954049,9818952,9471402,9351110,8998377,9515077,9274493,9622784,9914630,10479446,10549771,10378401,10362856,9820803,9503048,9339451,9525440,9756586,9635924,9884650,10302710,10474635,10502394,10189081,9718092,10192412,10054169,10100435,10187600,5177726,10391356,10496472,10290681,10396723,9889092,10220171,10597517,10726877,10547550,10508502,10694861,5820084,10413749,10607696,10557544,10805345,10284019,10140224,11149379,10571053,10725212,10422447,10589745,7873742,10331580,10716329,10834585,10940997,10775364,10419486,10926006,10833659,10647670,10428184,10136708,9196396,9863368,9990137,9721979,10480742,10432810,10496472,10680426,10210363,10491106,9519703,10069714
8.5,9090910,9723459,9994393,9684411,9879838,10517755,9851894,10011049,9940910,9932582,9335379,9384236,8897888,9191955,9614641,9666644,9388308,10196483,9880394,9766764,9637589,9392379,9188253,8874755,9399227,9198987,9511561,9837829,10359895,10402830,10311963,10125419,9818767,9394970,9216753,9433834,9702547,9552090,9672937,10243305,10342869,10390986,10242749,9616677,10099325,9967374,9962562,10021598,5058545,10321957,10332135,10155584,10250522,9777128,10137818,10673394,10517385,10493511,10416710,10626943,5774929,10355083,10543109,10476671,10740387,10197779,10112649,11019834,10482037,10769812,10331950,10537187,7823775,10259590,10729098,10752971,10886958,10726137,10313814,10921565,10772588,10759264,10359710,10159470,9009111,9769725,9989581,9789157,10412453,10421706,10493881,10723916,10255519,10349716,9463074,10026224
9,9165305,9783235,10128010,9748998,10073045,10516829,9801001,9746592,9930176,10019747,9286893,9463629,8952296,9248399,9704953,9710690,9470476,10243305,9991617,9928140,9828946,9443087,9390714,9029283,9455486,9266536,9576148,9682745,10250892,10286239,10374330,10251262,9924069,9500272,9288003,9453635,9753254,9628706,9805998,10304746,10409862,10468898,10287350,9679784,10178347,10057500,10093032,10157805,5112954,10355083,10515719,10361190,10313444,9838014,10225353,10643413,10626943,10566612,10490180,10692270,5790659,10434106,10599553,10562725,10814228,10264772,10216840,11100152,10589005,10844393,10373220,10606215,7769181,10301785,10695972,10842542,10954321,10780916,10415784,10996146,10894916,10706150,10456684,10094513,9072588,9837644,9950903,9782680,10497583,10419301,10480557,10686348,10221467,10565131,9550239,10084890
9.5,9097202,9766579,10118571,9691998,9904637,10333061,9892423,10059536,10034922,9813030,9357402,9298922,8890115,9210646,9684966,9677008,9413106,10205551,9863738,9766579,9699771,9387382,9223416,9057413,9416808,9209351,9561528,9863183,10388025,10431515,10307152,10102656,9892608,9454006,9319464,9420139,9686261,9600021,9770095,10242749,10382658,10423557,10093402,9603352,10082484,9949978,9999760,10087295,5061136,10308447,10448171,10235532,10209068,9785641,10161506,10734280,10547735,10372479,10408937,10563836,5714783,10352863,10534225,10513128,10743533,10230350,10093217,11136424,10483333,10671543,10381733,10533670,7755856,10243490,10621576,10766481,10908795,10666361,10343239,10812562,10759819,10525342,10371924,10065643,8915839,9782310,9904452,9632037,10426148,10350642,10361561,10620280,10197594,10448726,9529327,9870585
