Time,lb 369 1,lb 369 2,lb 369 3,lb 369 4,lb 369 5,lb 369 6,lb 370 1,lb 370 2,lb 370 3,lb 370 4,lb 370 5,lb 370 6,lb 320 1,lb 320 2,lb 320 3,lb 320 4,lb 320 5,lb 320 6,lb 321 1,lb 321 2,lb 321 3,lb 321 4,lb 321 5,lb 321 6,lb 3 1,lb 3 2,lb 3 3,lb 3 4,lb 3 5,lb 3 6,lb 6 1,lb 6 2,lb 6 3,lb 6 4,lb 6 5,lb 6 6,lb blank 1,lb blank 2,lb blank 3,lb blank 4,lb blank 5,lb blank 6,lb 311 1,lb 311 2,lb 311 3,lb 311 4,lb 311 5,lb 311 6,lb 442 1,lb 442 2,lb 442 3,lb 442 4,lb 442 5,lb 442 6,lb 312 1,lb 312 2,lb 312 3,lb 312 4,lb 312 5,lb 312 6,lb 443 1,lb 443 2,lb 443 3,lb 443 4,lb 443 5,lb 443 6,lb 313 1,lb 313 2,lb 313 3,lb 313 4,lb 313 5,lb 313 6,lb 3 7,lb 3 8,lb 3 9,lb 3 10,lb 3 11,lb 3 12,lb 4 1,lb 4 2,lb 4 3,lb 4 4,lb 4 5,lb 4 6,lb blank 7,lb blank 8,lb blank 9,lb blank 10,lb blank 11,lb blank 12
5,41603,39378,40112,40902,40616,39844,40107,40022,40725,40152,39788,41325,91482,89569,93878,87223,92600,85148,88750,89166,91494,92162,83662,86399,31569,30549,30964,30670,30422,31089,31407,31537,31305,30880,31178,31153,42694,43922,44366,43540,41790,40676,229076,204529,185606,196756,212240,210253,79979,71515,86159,75345,58777,81613,188109,212648,216126,222608,220052,209803,60065,72453,83332,83098,67700,73610,168343,235491,228444,194452,190753,200101,31278,32151,32000,31748,31076,31413,36118,35945,37609,36793,32939,36493,39263,40058,40096,38828,38104,35422
5.5,42856,41796,41647,42159,42658,41980,41883,41599,42458,41267,42863,42485,98534,99008,102565,100013,98236,98344,100075,103212,104148,105160,101317,97974,32095,30512,31597,31407,30614,31522,31089,31052,31404,30886,31202,31714,42447,43651,43548,43083,41558,40588,259494,240339,224966,234609,263024,253078,92240,84660,99322,87763,60178,91218,216311,231566,264869,262774,257281,240155,67621,78269,93712,97055,74729,82120,204006,268715,249587,212385,213426,226494,32488,33497,33083,32263,32566,32224,35403,35249,36282,35479,32935,35991,38533,39541,39779,38935,37360,35036
6,45181,43874,43761,43917,44367,43805,44052,42740,44293,43777,44296,44628,112551,114528,117524,112925,113305,111265,109246,113067,114190,118348,111479,104889,33460,31160,32093,32180,31356,32304,32589,31522,31405,31673,31678,31992,42780,43770,43777,43560,41877,40700,309317,277081,246439,253091,298409,286249,104445,91772,108143,104720,66253,99841,262853,271482,305720,307393,285551,281744,75588,90699,102671,100631,86825,94586,239694,281705,301979,252090,244515,265053,32786,33882,33711,32988,32646,33298,34321,34286,35028,34538,31731,34500,37959,38586,39475,38327,36972,34335
6.5,47033,45313,45717,45646,46020,45425,46071,45238,45928,45112,46334,46333,120950,119251,121514,118777,115197,117147,120133,120387,119027,121892,122461,118166,33170,31844,32576,33162,32446,32460,33280,31997,32455,32799,31720,32519,42577,43995,43530,43807,41670,40087,347125,362037,280940,314467,338641,322069,111324,105452,117327,107103,75431,110715,300912,325520,340209,339313,330210,326653,85830,100553,112266,116597,95604,103468,268399,349298,335861,274578,274736,289912,34111,34711,34746,34290,33962,33879,34814,34151,33840,34961,31785,34573,37078,38689,39364,37972,37008,34182
7,48246,46044,47532,47833,47518,46569,46451,46361,47328,46200,47446,47698,124682,123406,127312,120563,118262,119302,126548,122177,126611,124211,120955,122107,34693,32497,33684,33811,33002,33696,33262,33304,32557,34259,33838,33339,42737,43615,43640,43801,41395,39808,369454,373538,326152,337390,370218,356425,116580,109993,121748,111423,85555,115718,320857,350774,355569,364962,361642,351736,92837,103923,117223,115427,101155,109745,294167,373222,379189,321621,302269,351683,34995,35252,35989,34662,35285,35232,35608,34390,34315,35101,31410,34285,36726,38145,38554,37698,36880,33284
7.5,50766,48622,48685,49665,48993,48548,48164,48112,49366,48593,49775,48951,133360,125537,136831,128728,130379,126727,134029,131304,132926,134233,130908,130430,36365,33212,35652,35287,34338,34585,35193,34012,33935,33569,34534,34836,42591,44071,43392,43449,42374,40026,402520,412874,352157,367860,400807,387094,121971,118877,128502,142842,96862,127747,367267,403719,420107,420344,386830,397593,101088,112596,126227,122457,110454,215827,341210,403745,425455,358006,357637,369836,35818,36634,36485,35852,36226,35870,34549,34221,34731,35742,31813,34037,36034,37905,38540,37574,36559,32472
8,52152,50321,50395,51547,51130,50182,49749,49877,50898,50241,50985,50615,135455,137974,141842,136603,139400,131538,142418,141982,138807,143599,138712,137364,37214,34911,37177,35634,35389,36124,36013,35020,35627,35144,35844,35311,43308,44144,44045,43602,41428,40156,457033,422109,387054,370785,428340,419000,229906,126259,135483,124057,105705,128342,388385,421806,405971,438405,406116,426364,106831,122351,134688,129353,131682,126463,359719,443609,407091,365344,378966,397633,36879,37858,37857,37536,37288,37062,34329,33885,34754,34356,31823,34561,35337,37089,37776,36990,36086,31883
8.5,54017,51200,52403,52902,52788,52067,50721,51353,52311,51684,52556,52396,138470,134940,145199,136986,136835,135148,150361,146160,142737,145992,142422,139878,37647,36281,36932,36987,35647,36968,36684,35610,36461,35841,36567,36549,42612,44337,45941,43839,42131,40304,492430,444241,423848,430698,471207,472129,256121,133157,166960,134344,113449,143068,439156,449510,452672,471326,478650,465240,111597,126499,144534,136428,125378,131475,395037,459035,497146,447205,393588,425086,37749,38433,39273,37508,37672,37829,35066,32461,33470,35440,31950,33800,34417,36165,37444,36688,35527,31564
9,55408,52378,53982,54575,54456,53616,52799,53473,53461,53101,53509,53254,143131,134480,146795,140956,139602,139495,156544,155780,151661,153630,148461,144958,38430,36971,37931,37659,36653,37197,37983,36349,36724,36917,37544,37402,43030,44164,45940,44226,41573,39491,527617,508238,429328,466583,492417,470707,204973,154856,148863,146277,119098,146733,449392,488504,526207,506921,501494,473407,114669,131087,146013,146916,243382,136595,423874,486173,497831,450433,409054,430567,37937,40021,39714,39432,39471,38648,36245,35623,35316,35252,32756,33463,33708,35844,37080,35845,35337,30902
9.5,57425,53937,55495,56317,55677,55457,54408,54573,54917,54077,55407,54818,147697,146197,156273,152921,153989,149791,157800,157430,155945,161278,156909,155185,39634,39021,39249,37929,38257,39857,39376,38199,37825,38022,38446,39094,43412,44470,45927,43680,41285,39682,579363,517315,465832,466636,521109,510320,284458,162113,298000,150337,128020,152898,486423,501164,525193,521438,534915,500163,119563,138057,226402,154124,161356,141562,460866,495236,528697,465872,441474,453080,38728,41109,40727,39518,40489,40247,35946,33868,35948,35953,33337,35545,33013,35416,36271,35966,35266,30128
10,59051,56260,56589,58121,57565,56840,56186,56402,56638,56158,56663,55315,152351,147629,152445,151008,151613,152537,164828,160749,159003,162698,157656,156241,40522,39261,40167,39322,39113,39817,40410,39260,38918,38751,39554,39743,43547,44477,45146,44270,42189,39397,607067,565043,490797,484052,548141,576083,204175,157687,293521,153454,132552,157934,541067,537668,557034,564292,550565,547338,128368,146560,169674,155288,155625,146359,473078,538630,545717,491047,462262,509385,40355,41820,42267,40763,41136,41745,36948,34797,36717,37578,34049,34148,31914,34919,36242,36035,34994,29427
10.5,60511,56942,58188,58727,58870,57775,57522,56592,57842,57218,57740,56934,153352,150887,146819,147715,150408,152810,172250,168205,166284,168660,164264,164142,41728,40255,41944,40506,39859,39683,41358,39846,39452,40709,40147,40395,43077,44085,46118,43950,41475,39055,635008,598596,542661,541871,614826,619147,162650,291743,342316,163012,223306,164514,584830,523691,576241,562843,586292,585726,131678,152850,163266,322477,157874,454292,506684,589612,588887,539104,466873,555795,40924,42872,41792,41686,42060,42533,38474,33283,32628,36608,34263,33608,31169,34283,35249,35487,34228,29106
11,62055,59593,59401,59947,59544,58610,59308,58239,59338,58613,58825,57987,155725,149798,154316,154067,155111,156323,171329,168976,169249,171426,167721,166947,41955,40338,42044,41885,40810,41102,42451,41089,40492,41130,40824,41310,43683,44243,46228,44010,41572,39193,653610,664636,567480,575990,620359,629726,398871,192606,451855,167937,148963,170904,628448,594710,613799,590653,626788,605855,140369,163691,167021,373011,429974,420752,553161,607910,619226,565386,506618,559102,41956,43265,42971,42197,41994,42628,39088,34680,38147,39128,35113,34694,30852,34135,35451,35295,33856,28364
11.5,62210,61143,61744,61253,61843,61075,60081,60240,61163,59869,60191,59551,156343,153247,157575,156539,156527,160029,173236,172339,171904,174393,170796,169611,43363,41999,42805,41755,40918,41553,43108,42069,42402,42377,42262,43251,43009,44321,45021,44536,41632,38726,671881,667336,588558,595303,645468,650948,329301,175657,217299,178568,158471,178277,622915,612943,622862,635180,665374,659156,148310,175986,183380,165522,296222,407342,562356,630477,625734,599189,542411,592352,42784,44571,43590,42955,42793,43433,38507,37701,38994,39219,36507,36685,29922,33270,35060,35068,33892,27832
12,63785,62098,62855,63126,63677,62705,61977,60697,61882,62606,62436,61060,160061,155628,160254,161436,160376,163760,176561,175070,174887,178899,175679,175867,43248,42647,42197,41859,41300,41360,44899,43454,42233,42597,42771,43341,43387,44644,44635,44405,41580,38501,690008,696793,618199,622309,683198,680154,331369,178846,213874,199646,300517,182831,644770,612534,655230,655678,658839,651699,150208,171413,191029,174971,327905,359126,578046,648986,637393,606013,557824,626116,42955,45204,44055,43469,43295,42967,41144,39209,35784,40285,36805,38484,29288,32568,34117,34489,33012,26806
12.5,65108,65739,65031,64340,65004,62783,62798,63578,64575,64308,63394,62585,159814,155977,163484,161487,160975,164800,179361,178337,176813,178659,176480,175966,44170,42147,42765,42459,42199,42927,46061,44401,43606,43805,44153,44888,43637,44415,45263,44166,41674,38555,715473,722587,636550,630226,702813,700942,261549,242289,193882,189548,260000,206957,669800,598702,646074,661290,681709,664912,152201,180464,194477,184230,339445,291532,599347,639606,651633,607449,552910,614141,44586,45208,43713,43535,42656,43061,39676,38549,36173,41452,36746,40230,28695,31648,33557,33800,32789,26171
13,68158,67264,66888,66841,66773,63717,66262,65585,66284,65260,65686,63098,165071,162653,166601,165958,169845,171702,180059,176433,179686,182700,181050,180791,44770,43328,43841,43674,43329,43855,46995,46218,45396,45166,45068,45777,43579,44718,44210,44285,41566,38230,719320,731031,646272,663239,712364,793171,266357,221053,212385,204270,302361,247176,695660,634284,647497,701219,661132,675438,159556,183530,202398,198922,341407,274077,645086,670077,665044,653438,643281,679641,46419,45497,45187,43482,44146,44525,41000,38256,36607,41133,37491,40957,28348,31459,33404,33937,32540,25374
13.5,69568,68537,67736,67791,67755,64964,68425,67544,67755,67525,66962,64113,169289,163073,163931,166675,169996,174070,182933,182273,181426,183391,180220,184776,46009,44795,45035,45055,44252,44682,48391,46414,46583,46107,46269,46915,43629,44518,46136,44165,41926,37741,799455,739502,764584,782224,813959,846327,263446,239760,215599,201490,199194,304482,813406,738158,795569,802037,759591,743506,162280,187800,210264,214441,347704,260548,763767,788982,782276,718635,737618,737236,49011,46705,46494,45514,44749,45195,46509,41087,38127,44100,38787,41440,26954,30564,32926,33100,31558,24686
14,71443,68405,68089,68692,69072,66732,69970,68827,69027,69103,69695,65131,166370,163882,167309,168472,168530,171629,183768,182289,180936,181102,181750,185429,47654,46027,45904,46188,45174,45732,49550,48022,47285,47033,46843,48564,43905,44788,44843,44149,41276,37788,804830,879788,818952,823536,859276,852571,269914,228141,234556,197197,274261,344174,868287,791761,828779,832218,816146,783699,168765,190555,217417,219352,362973,254620,766890,826448,823194,790220,776480,798164,49983,48341,47508,47054,45875,46211,48153,40845,37787,44631,39498,42563,26568,30285,32634,32535,31349,23878
14.5,72126,70954,69453,71138,71253,68147,71129,70867,70426,70626,71691,66690,167387,164994,172512,166435,167848,174910,186439,185660,183027,184927,184757,187816,49651,47148,46531,48296,46972,47765,50308,48961,49046,48660,49186,48378,43733,44850,44138,44265,41348,37492,808387,899680,847183,880064,904607,844048,496369,290689,252406,203480,298791,371048,880143,839793,863966,866193,848013,833008,170097,194124,232896,220605,365687,245187,823115,859131,876468,845141,808163,830044,51983,51542,48817,48295,47505,49130,46844,44467,40894,48097,40023,43883,26585,29726,31844,32516,31078,23043
15,73479,71503,70574,72652,73138,69257,72437,71818,71539,71965,71642,68415,170535,164953,170750,169241,171307,176252,187257,183377,181710,185883,185735,187689,50894,49129,48411,49855,48741,48303,51859,49157,49028,49057,49652,49866,43253,44268,45438,44133,41383,36833,789140,889022,853361,854244,904106,846603,516735,350049,278279,226494,219591,364975,835524,840451,880091,871304,848079,846024,177295,196703,245345,211066,381021,238192,818043,855693,860357,866970,820506,852373,53628,51698,49535,50278,48866,50595,50612,39944,43380,49585,41345,44707,25770,28778,31346,31777,30391,22095
15.5,75864,72137,72480,74705,74879,70836,73760,73217,73083,73693,73321,69329,170468,169471,174324,169908,172985,177911,189840,187044,183910,188026,186223,189015,53814,52109,51878,52166,50708,51405,53522,51694,50568,50448,51224,51103,43860,44948,45715,43996,41331,36938,768418,903672,831375,852466,923485,839266,419593,404404,280888,219920,307604,412071,814539,845181,830255,868010,867299,867787,185140,200749,241960,213414,361748,210356,863321,834233,830597,857669,808294,843824,54919,53265,51817,51139,50909,52549,50503,45852,47360,45839,41556,45936,24690,27950,30969,31646,30085,21405
16,77623,73764,73582,76388,75479,72329,75688,74125,74119,76424,75126,70886,172213,170005,176904,170974,174619,180181,188082,188383,185742,189020,188080,190956,55369,53827,53703,54040,52911,53018,54479,52951,52039,52127,52628,51233,44094,45251,45179,43913,41346,36568,758696,858907,841110,835234,884425,828845,488781,395235,322596,234688,291018,428999,803644,821191,795555,812470,819611,846076,199022,208736,241907,218300,305957,207695,855640,819505,808123,804276,779194,803539,56370,54323,54373,53534,53737,53530,50690,47087,47521,43892,42484,47396,24800,27602,30326,31032,29745,20948
